티커,종목명,Market,BPS,PER,PBR,EPS,DIV,DPS,Stocks
100840,SNT에너지,KOSPI,38778,9.4,0.56,2292,3.71,800,7506711.0
210540,디와이파워,KOSPI,21781,8.08,0.6,1618,1.91,250,11041708.0
282690,동아타이어,KOSPI,27514,6.47,0.41,1747,8.84,1000,13733015.0
134380,미원화학,KOSPI,64815,9.16,1.12,7959,3.43,2500,2199268.0
000500,가온전선,KOSPI,49444,8.91,0.44,2458,0.23,50,6358926.0
002170,삼양통상,KOSPI,147462,9.36,0.34,5339,3.0,1500,3000000.0
007540,샘표,KOSPI,92028,10.74,0.56,4831,0.39,200,2875800.0
000320,노루홀딩스,KOSPI,38479,4.64,0.29,2391,4.5,500,13291151.0
000700,유수홀딩스,KOSPI,13726,4.64,0.41,1218,7.08,400,26041812.0
009410,태영건설,KOSPI,19502,2.4,0.2,1607,5.84,225,38899098.0
005960,동부건설,KOSPI,25542,3.61,0.25,1737,7.97,500,22874863.0
094280,효성ITX,KOSPI,5956,9.7,2.04,1254,6.17,750,11558200.0
004890,동일산업,KOSPI,192642,5.67,0.3,10085,5.24,3000,2425215.0
032560,황금에스티,KOSPI,19636,3.28,0.4,2380,2.56,200,17000000.0
120030,조선선재,KOSPI,134669,9.77,0.76,10425,1.47,1500,1257651.0
013580,계룡건설,KOSPI,84371,2.19,0.18,6828,3.34,500,8930907.0
023810,인팩,KOSPI,11399,7.75,0.9,1320,1.76,180,10000000.0
024090,디씨엠,KOSPI,28881,2.81,0.4,4097,7.81,900,11400000.0
003830,대한화섬,KOSPI,635611,3.54,0.17,29768,0.71,750,1328000.0
019440,세아특수강,KOSPI,40593,6.7,0.36,2185,6.84,1000,8570000.0
009470,삼화전기,KOSPI,10248,11.25,1.77,1611,1.66,300,6613820.0
248170,샘표식품,KOSPI,49786,9.59,0.55,2869,0.73,200,4568286.0
023450,동남합성,KOSPI,14281,11.57,2.42,2983,2.54,875,3500000.0
004150,한솔홀딩스,KOSPI,13522,2.45,0.21,1144,4.28,120,42008577.0
002600,조흥,KOSPI,256975,9.51,0.69,18552,3.68,6500,600000.0
005430,한국공항,KOSPI,110940,21.66,0.37,1888,0.0,0,3166355.0
267290,경동도시가스,KOSPI,67007,4.82,0.3,4105,4.42,875,5895406.0
003650,미창석유,KOSPI,212260,4.5,0.33,15455,3.6,2500,1739672.0
001750,한양증권,KOSPI,36091,4.78,0.25,1858,9.0,800,12728534.0
034590,인천도시가스,KOSPI,48520,8.66,0.53,2956,4.88,1250,4374754.0
003350,한국화장품제조,KOSPI,13033,28.66,2.45,1113,0.31,100,4532000.0
002460,화성산업,KOSPI,39046,4.57,0.26,2229,4.91,500,10150000.0
264900,크라운제과,KOSPI,16001,3.97,0.53,2116,2.97,250,12523850.0
227840,현대코퍼레이션홀딩스,KOSPI,25341,2.89,0.43,3810,4.55,500,9100836.0
